domain_name,ticker
team.aussiebroadband.com.au,ABB
twistbioscience.com,TWST
luminartech.com,LAZR
softcat.com,SCT
catenamedia.com,CTM
nuvei.com,NUVCF
justeattakeaway.com,TKWY
corsair.com,CRSR
dana.com,DAN
squareup.com,SQ
